stop_id,stop_name,stop_lon,stop_lat,stop_full_name
S0702,洋桥南,116.386788,39.856007,北京市丰台区洋桥南(公交站)
S0703,马家堡东口,116.387024,39.85067,北京市丰台区马家堡东口(公交站)
S0704,西马场北口,116.386636,39.846693,北京市丰台区西马场北口(公交站)
S0705,角门,116.382187,39.845654,北京市丰台区角门(公交站)
S0706,角门南站,116.379922,39.840256,北京市丰台区角门南站(公交站)
S0707,洋桥北,116.386957,39.857843,北京市丰台区洋桥北(公交站)
S0708,北下关,116.348366,39.945034,北京市海淀区北下关(公交站)
S0709,北京交通大学,116.343369,39.946701,北京市海淀区北京交通大学(公交站)
S0710,大柳树南站,116.336918,39.950334,北京市海淀区大柳树南站(公交站)
S0711,皂君庙东站,116.344116,39.958054,北京市海淀区皂君庙东站(公交站)
S0712,明光村西站,116.349805,39.958082,北京市海淀区明光村西站(公交站)
S0713,明光村,116.352192,39.958051,北京市海淀区明光村(公交站)
S0714,明光桥东,116.358528,39.957954,北京市海淀区明光桥东(公交站)
S0715,北京师范大学南门,116.368416,39.958047,北京市海淀区北京师范大学南门(公交站)
S0716,蓟门桥东,116.359449,39.967912,北京市海淀区蓟门桥东(公交站)
S0717,蓟门桥南,116.353181,39.964245,北京市海淀区蓟门桥南(公交站)
S0718,明光桥北,116.353351,39.960855,北京市海淀区明光桥北(公交站)
S0719,崇文门东,116.422157,39.900477,北京市东城区崇文门东(公交站)
S0720,东花市大街东口,116.43793,39.89776,东花市大街东口(公交站)
S0721,铁辘轳把,116.434402,39.897568,北京市东城区铁辘轳把(公交站)
S0722,小市口,116.42952,39.897404,北京市东城区小市口(公交站)
S0723,羊市口,116.420707,39.897166,北京市东城区羊市口(公交站)
S0724,磁器口南,116.419015,39.891936,北京市东城区磁器口南(公交站)
S0725,天坛体育场,116.420807,39.882038,北京市东城区天坛体育场(公交站)
S0726,东侧路,116.42128,39.875698,北京市东城区东侧路(公交站)
S0727,天坛南门东,116.415964,39.873207,北京市东城区天坛南门东(公交站)
S0728,马尾沟,116.351654,39.928194,北京市西城区马尾沟(公交站)
S0729,阜外医院,116.353157,39.924664,北京市西城区阜外医院(公交站)
S0730,北京儿童医院西门,116.352899,39.91306,北京市西城区北京儿童医院西门(公交站)
S0731,南礼士路南口,116.352623,39.909126,北京市西城区南礼士路南口(公交站)
S0732,真武庙,116.352608,39.90448,北京市西城区真武庙(公交站)
S0733,西便门外,116.35125,39.901181,北京市西城区西便门外(公交站)
S0734,天宁寺桥北,116.348312,39.899657,北京市西城区天宁寺桥北(公交站)
S0735,广安门北,116.350113,39.893516,北京市西城区广安门北(公交站)
S0736,白纸坊,116.359175,39.879922,北京市西城区白纸坊(公交站)
S0737,南樱桃园路口南,116.363937,39.876408,北京市西城区南樱桃园路口南(公交站)
S0738,右安门内,116.364063,39.873494,北京市西城区右安门内(公交站)
S0739,右安门,116.36438,39.867756,北京市丰台区右安门(公交站)
S0740,右安门外,116.364575,39.86326,北京市丰台区右安门外(公交站)
S0741,翠林小区,116.364761,39.859184,北京市丰台区翠林小区(公交站)
S0742,南樱桃园路口西,116.362114,39.878052,北京市西城区南樱桃园路口西(公交站)
S0743,天宁寺桥东,116.351502,39.897656,北京市西城区天宁寺桥东(公交站)
S0744,车公庄南街,116.349487,39.928951,车公庄南街(公交站)
S0745,四惠枢纽站,116.49675,39.906649,北京市朝阳区四惠枢纽站(公交站)
S0746,大北窑西,116.459822,39.908694,北京市朝阳区大北窑西(公交站)
S0747,东单路口西,116.416229,39.908279,北京市东城区东单路口西(公交站)
S0748,天安门西,116.389664,39.907246,北京市西城区天安门西(公交站)
S0749,西单路口东,116.377318,39.907062,北京市西城区西单路口东(公交站)
S0750,工会大楼,116.345634,39.907207,北京市西城区工会大楼(公交站)
